"","Age","Sex","Survived"
"186",42.0173267326733,"male",0
"187",30.1516245487365,"female",1
"188",45,"male",1
"189",40,"male",0
"190",36,"male",0
"191",32,"female",1
"192",19,"male",0
"193",19,"female",1
"194",3,"male",1
"195",44,"female",1
"196",58,"female",1
"197",30.1516245487365,"male",0
"198",42,"male",0
"199",24.063829787234,"female",1
"200",24,"female",0
"201",28,"male",0
"202",30.1516245487365,"male",0
"203",34,"male",0
"204",45.5,"male",0
"205",18,"male",1
"206",2,"female",0
"207",32,"male",0
"208",26,"male",1
"209",16,"female",1
"210",40,"male",1
"211",24,"male",0
"212",35,"female",1
"213",22,"male",0
"214",30,"male",0
"215",30.1516245487365,"male",0
"216",31,"female",1
"217",27,"female",1
"218",42,"male",0
"219",32,"female",1
"220",30,"male",0
"221",16,"male",1
"222",27,"male",0
"223",51,"male",0
"224",30.1516245487365,"male",0
"225",38,"male",1
"226",22,"male",0
"227",19,"male",1
"228",20.5,"male",0
"229",18,"male",0
"230",7.72877358490566,"female",0
"231",35,"female",1
"232",29,"male",0
"233",59,"male",0
"234",5,"female",1
"235",24,"male",0
"236",24.063829787234,"female",0
"237",44,"male",0
"238",8,"female",1
"239",19,"male",0
"240",33,"male",0
"241",24.063829787234,"female",0
"242",24.063829787234,"female",1
"243",29,"male",0
"244",22,"male",0
"245",30,"male",0
"246",44,"male",0
"247",25,"female",0
"248",24,"female",1
"249",37,"male",1
"250",54,"male",0
"251",30.1516245487365,"male",0
"252",29,"female",0
"253",62,"male",0
"254",30,"male",0
"255",41,"female",0
"256",29,"female",1
"257",42.0173267326733,"female",1
"258",30,"female",1
"259",35,"female",1
"260",50,"female",1
"261",30.1516245487365,"male",0
"262",3,"male",1
"263",52,"male",0
"264",40,"male",0
"265",24.063829787234,"female",0
"266",36,"male",0
"267",16,"male",0
"268",25,"male",1
"269",58,"female",1
"270",35,"female",1
"271",42.0173267326733,"male",0
"272",25,"male",1
"273",41,"female",1
"274",37,"male",0
"275",24.063829787234,"female",1
"276",63,"female",1
"277",45,"female",0
"278",30.1516245487365,"male",0
"279",7,"male",0
"280",35,"female",1
"281",65,"male",0
"282",28,"male",0
"283",16,"male",0
"284",19,"male",1
"285",42.0173267326733,"male",0
"286",33,"male",0
"287",30,"male",1
"288",22,"male",0
"289",42,"male",1
"290",22,"female",1
"291",26,"female",1
"292",19,"female",1
"293",36,"male",0
"294",24,"female",0
"295",24,"male",0
"296",42.0173267326733,"male",0
"297",23.5,"male",0
"298",2,"female",0
"299",42.0173267326733,"male",1
"300",50,"female",1
"301",24.063829787234,"female",1
"302",30.1516245487365,"male",1
"303",19,"male",0
"304",24.063829787234,"female",1
"305",30.1516245487365,"male",0
"306",0.92,"male",1
"307",36.0461538461538,"female",1
"308",17,"female",1
"309",30,"male",0
"310",30,"female",1
"311",24,"female",1
"312",18,"female",1
"313",26,"female",0
"314",28,"male",0
"315",43,"male",0
"316",26,"female",1
"317",24,"female",1
"318",54,"male",0
"319",31,"female",1
"320",40,"female",1
"321",22,"male",0
"322",27,"male",0
"323",30,"female",1
"324",22,"female",1
"325",30.1516245487365,"male",0
"326",36,"female",1
"327",61,"male",0
"328",36,"female",1
"329",31,"female",1
"330",16,"female",1
"331",24.063829787234,"female",1
"332",45.5,"male",0
"333",38,"male",0
"334",16,"male",0
"335",42.0173267326733,"female",1
"336",30.1516245487365,"male",0
"337",29,"male",0
"338",41,"female",1
"339",45,"male",1
"340",45,"male",0
"341",2,"male",1
"342",24,"female",1
"343",28,"male",0
"344",25,"male",0
"345",36,"male",0
"346",24,"female",1
"347",40,"female",1
"348",30.1516245487365,"female",1
"349",3,"male",1
"350",42,"male",0
"351",23,"male",0
"352",42.0173267326733,"male",0
"353",15,"male",0
"354",25,"male",0
"355",30.1516245487365,"male",0
"356",28,"male",0
"357",22,"female",1
"358",38,"female",0
"359",24.063829787234,"female",1
"360",24.063829787234,"female",1
"361",40,"male",0
"362",29,"male",0
"363",45,"female",0
"364",35,"male",0
"365",30.1516245487365,"male",0
"366",30,"male",0
"367",60,"female",1
"368",30.1516245487365,"female",1
"369",24.063829787234,"female",1
"370",24,"female",1
"371",25,"male",1
"372",18,"male",0
"373",19,"male",0
"374",22,"male",0
"375",3,"female",0
"376",42.0173267326733,"female",1
"377",22,"female",1
"378",27,"male",0
"379",20,"male",0
"380",19,"male",0
"381",42,"female",1
"382",1,"female",1
"383",32,"male",0
"384",35,"female",1
"385",30.1516245487365,"male",0
"386",18,"male",0
"387",1,"male",0
"388",36,"female",1
"389",30.1516245487365,"male",0
"390",17,"female",1
"391",36,"male",1
"392",21,"male",1
"393",28,"male",0
"394",23,"female",1
"395",24,"female",1
"396",22,"male",0
"397",31,"female",0
"398",46,"male",0
"399",23,"male",0
"400",28,"female",1
"401",39,"male",1
"402",26,"male",0
"403",21,"female",0
"404",28,"male",0
"405",20,"female",0
"406",34,"male",0
"407",51,"male",0
"408",3,"male",1
"409",21,"male",0
"410",7.72877358490566,"female",0
"411",30.1516245487365,"male",0
"412",30.1516245487365,"male",0
"413",33,"female",1
"414",30.1516245487365,"male",0
"415",44,"male",1
"416",30.1516245487365,"female",0
"417",34,"female",1
"418",18,"female",1
"419",30,"male",0
"420",10,"female",0
"421",30.1516245487365,"male",0
"422",21,"male",0
"423",29,"male",0
"424",28,"female",0
"425",18,"male",0
"426",30.1516245487365,"male",0
"427",28,"female",1
"428",19,"female",1
"429",30.1516245487365,"male",0
"430",32,"male",1
"431",28,"male",1
"432",30.1516245487365,"female",1
"433",42,"female",1
"434",17,"male",0
"435",50,"male",0
"436",14,"female",1
"437",21,"female",0
"438",24,"female",1
"439",64,"male",0
"440",31,"male",0
"441",45,"female",1
"442",20,"male",0
"443",25,"male",0
"444",28,"female",1
"445",30.1516245487365,"male",1
"446",4,"male",1
"447",13,"female",1
"448",34,"male",1
"449",5,"female",1
"450",52,"male",1
"451",36,"male",0
"452",30.1516245487365,"male",0
"453",30,"male",0
"454",49,"male",1
"455",30.1516245487365,"male",0
"456",29,"male",1
"457",65,"male",0
"458",42.0173267326733,"female",1
"459",50,"female",1
"460",30.1516245487365,"male",0
"461",48,"male",1
"462",34,"male",0
"463",47,"male",0
"464",48,"male",0
"465",30.1516245487365,"male",0
"466",38,"male",0
"467",30.1516245487365,"male",0
"468",56,"male",0
"469",30.1516245487365,"male",0
"470",0.75,"female",1
"471",30.1516245487365,"male",0
"472",38,"male",0
"473",33,"female",1
"474",23,"female",1
"475",22,"female",0
"476",42.0173267326733,"male",0
"477",34,"male",0
"478",29,"male",0
"479",22,"male",0
"480",2,"female",1
"481",9,"male",0
"482",30.1516245487365,"male",0
"483",50,"male",0
"484",63,"female",1
"485",25,"male",1
"486",7.72877358490566,"female",0
"487",35,"female",1
"488",58,"male",0
"489",30,"male",0
"490",9,"male",1
"491",30.1516245487365,"male",0
"492",21,"male",0
"493",55,"male",0
"494",71,"male",0
"495",21,"male",0
"496",30.1516245487365,"male",0
"497",54,"female",1
"498",30.1516245487365,"male",0
"499",25,"female",0
"500",24,"male",0
"501",17,"male",0
"502",21,"female",0
"503",24.063829787234,"female",0
"504",37,"female",0
"505",16,"female",1
"506",18,"male",0
"507",33,"female",1
"508",42.0173267326733,"male",1
"509",28,"male",0
"510",26,"male",1
"511",29,"male",1
"512",30.1516245487365,"male",0
"513",36,"male",1
"514",54,"female",1
"515",24,"male",0
"516",47,"male",0
"517",34,"female",1
"518",30.1516245487365,"male",0
"519",36,"female",1
"520",32,"male",0
"521",30,"female",1
"522",22,"male",0
"523",30.1516245487365,"male",0
"524",44,"female",1
"525",30.1516245487365,"male",0
"526",40.5,"male",0
"527",50,"female",1
"528",42.0173267326733,"male",0
"529",39,"male",0
"530",23,"male",0
"531",2,"female",1
"532",30.1516245487365,"male",0
"533",17,"male",0
"534",30.1516245487365,"female",1
"535",30,"female",0
"536",7,"female",1
"537",45,"male",0
"538",30,"female",1
"539",30.1516245487365,"male",0
"540",22,"female",1
"541",36,"female",1
"542",9,"female",0
"543",11,"female",0
"544",32,"male",1
"545",50,"male",0
"546",64,"male",0
"547",19,"female",1
"548",30.1516245487365,"male",1
"549",33,"male",0
"550",8,"male",1
"551",17,"male",1
"552",27,"male",0
"553",30.1516245487365,"male",0
"554",22,"male",1
"555",22,"female",1
"556",62,"male",0
"557",48,"female",1
"558",42.0173267326733,"male",0
"559",39,"female",1
"560",36,"female",1
"561",30.1516245487365,"male",0
"562",40,"male",0
"563",28,"male",0
"564",30.1516245487365,"male",0
"565",24.063829787234,"female",0
"566",24,"male",0
"567",19,"male",0
"568",29,"female",0
"569",30.1516245487365,"male",0
"570",32,"male",1
"571",62,"male",1
"572",53,"female",1
"573",36,"male",1
"574",24.063829787234,"female",1
"575",16,"male",0
"576",19,"male",0
"577",34,"female",1
"578",39,"female",1
"579",30.1516245487365,"female",0
"580",32,"male",1
"581",25,"female",1
"582",39,"female",1
"583",54,"male",0
"584",36,"male",0
"585",30.1516245487365,"male",0
"586",18,"female",1
"587",47,"male",0
"588",60,"male",1
"589",22,"male",0
"590",30.1516245487365,"male",0
"591",35,"male",0
"592",52,"female",1
"593",47,"male",0
"594",7.72877358490566,"female",0
"595",37,"male",0
"596",36,"male",0
"597",24.063829787234,"female",1
"598",49,"male",0
"599",30.1516245487365,"male",0
"600",49,"male",1
"601",24,"female",1
"602",30.1516245487365,"male",0
"603",42.0173267326733,"male",0
"604",44,"male",0
"605",35,"male",1
"606",36,"male",0
"607",30,"male",0
"608",27,"male",1
"609",22,"female",1
"610",40,"female",1
"611",39,"female",0
"612",30.1516245487365,"male",0
"613",24.063829787234,"female",1
"614",30.1516245487365,"male",0
"615",35,"male",0
"616",24,"female",1
"617",34,"male",0
"618",26,"female",0
"619",4,"female",1
"620",26,"male",0
"621",27,"male",0
"622",42,"male",1
"623",20,"male",1
"624",21,"male",0
"625",21,"male",0
"626",61,"male",0
"627",57,"male",0
"628",21,"female",1
"629",26,"male",0
"630",30.1516245487365,"male",0
"631",80,"male",1
"632",51,"male",0
"633",32,"male",1
"634",42.0173267326733,"male",0
"635",9,"female",0
"636",28,"female",1
"637",32,"male",0
"638",31,"male",0
"639",41,"female",0
"640",30.1516245487365,"male",0
"641",20,"male",0
"642",24,"female",1
"643",2,"female",0
"644",30.1516245487365,"male",1
"645",0.75,"female",1
"646",48,"male",1
"647",19,"male",0
"648",56,"male",1
"649",30.1516245487365,"male",0
"650",23,"female",1
"651",30.1516245487365,"male",0
"652",18,"female",1
"653",21,"male",0
"654",24.063829787234,"female",1
"655",18,"female",0
"656",24,"male",0
"657",30.1516245487365,"male",0
"658",32,"female",0
"659",23,"male",0
"660",58,"male",0
"661",50,"male",1
"662",40,"male",0
"663",47,"male",0
"664",36,"male",0
"665",20,"male",1
"666",32,"male",0
"667",25,"male",0
"668",30.1516245487365,"male",0
"669",43,"male",0
"670",42.0173267326733,"female",1
"671",40,"female",1
"672",31,"male",0
"673",70,"male",0
"674",31,"male",1
"675",30.1516245487365,"male",0
"676",18,"male",0
"677",24.5,"male",0
"678",18,"female",1
"679",43,"female",0
"680",36,"male",1
"681",24.063829787234,"female",0
"682",27,"male",1
"683",20,"male",0
"684",14,"male",0
"685",60,"male",0
"686",25,"male",0
"687",14,"male",0
"688",19,"male",0
"689",18,"male",0
"690",15,"female",1
"691",31,"male",1
"692",4,"female",1
"693",30.1516245487365,"male",1
"694",25,"male",0
"695",60,"male",0
"696",52,"male",0
"697",44,"male",0
"698",24.063829787234,"female",1
"699",49,"male",0
"700",42,"male",0
"701",18,"female",1
"702",35,"male",1
"703",18,"female",0
"704",25,"male",0
"705",26,"male",0
"706",39,"male",0
"707",45,"female",1
"708",42,"male",1
"709",22,"female",1
"710",7.72877358490566,"male",1
"711",24,"female",1
"712",42.0173267326733,"male",0
"713",48,"male",1
"714",29,"male",0
"715",52,"male",0
"716",19,"male",0
"717",38,"female",1
"718",27,"female",1
"719",30.1516245487365,"male",0
"720",33,"male",0
"721",6,"female",1
"722",17,"male",0
"723",34,"male",0
"724",50,"male",0
"725",27,"male",1
"726",20,"male",0
"727",30,"female",1
"728",24.063829787234,"female",1
"729",25,"male",0
"730",25,"female",0
"731",29,"female",1
"732",11,"male",0
"733",30.1516245487365,"male",0
"734",23,"male",0
"735",23,"male",0
"736",28.5,"male",0
"737",48,"female",0
"738",35,"male",1
"739",30.1516245487365,"male",0
"740",30.1516245487365,"male",0
"741",42.0173267326733,"male",1
"742",36,"male",0
"743",21,"female",1
"744",24,"male",0
"745",31,"male",1
"746",70,"male",0
"747",16,"male",0
"748",30,"female",1
"749",19,"male",0
"750",31,"male",0
"751",4,"female",1
"752",6,"male",1
"753",33,"male",0
"754",23,"male",0
"755",48,"female",1
"756",0.67,"male",1
"757",28,"male",0
"758",18,"male",0
"759",34,"male",0
"760",33,"female",1
"761",30.1516245487365,"male",0
"762",41,"male",0
"763",20,"male",1
"764",36,"female",1
"765",16,"male",0
"766",51,"female",1
"767",36.0461538461538,"male",0
"768",30.5,"female",0
"769",30.1516245487365,"male",0
"770",32,"male",0
"771",24,"male",0
"772",48,"male",0
"773",57,"female",0
"774",30.1516245487365,"male",0
"775",54,"female",1
"776",18,"male",0
"777",30.1516245487365,"male",0
"778",5,"female",1
"779",30.1516245487365,"male",0
"780",43,"female",1
"781",13,"female",1
"782",17,"female",1
"783",29,"male",0
"784",30.1516245487365,"male",0
"785",25,"male",0
"786",25,"male",0
"787",18,"female",1
"788",8,"male",0
"789",1,"male",1
"790",46,"male",0
"791",30.1516245487365,"male",0
"792",16,"male",0
"793",7.72877358490566,"female",0
"794",42.0173267326733,"male",0
"795",25,"male",0
"796",39,"male",0
"797",49,"female",1
"798",31,"female",1
"799",30,"male",0
"800",30,"female",0
"801",34,"male",0
"802",31,"female",1
"803",11,"male",1
"804",0.42,"male",1
"805",27,"male",1
"806",31,"male",0
"807",39,"male",0
"808",18,"female",0
"809",39,"male",0
"810",33,"female",1
"811",26,"male",0
"812",39,"male",0
"813",35,"male",0
"814",6,"female",0
"815",30.5,"male",0
"816",42.0173267326733,"male",0
"817",23,"female",0
"818",31,"male",0
"819",43,"male",0
"820",10,"male",0
"821",52,"female",1
"822",27,"male",1
"823",38,"male",0
"824",27,"female",1
"825",2,"male",0
"826",30.1516245487365,"male",0
"827",30.1516245487365,"male",0
"828",1,"male",1
"829",30.1516245487365,"male",1
"830",62,"female",1
"831",15,"female",1
"832",0.83,"male",1
"833",30.1516245487365,"male",0
"834",23,"male",0
"835",18,"male",0
"836",39,"female",1
"837",21,"male",0
"838",30.1516245487365,"male",0
"839",32,"male",1
"840",42.0173267326733,"male",1
"841",20,"male",0
"842",16,"male",0
"843",30,"female",1
"844",34.5,"male",0
"845",17,"male",0
"846",42,"male",0
"847",30.1516245487365,"male",0
"848",35,"male",0
"849",28,"male",0
"850",42.0173267326733,"female",1
"851",4,"male",0
"852",74,"male",0
"853",9,"female",0
"854",16,"female",1
"855",44,"female",0
"856",18,"female",1
"857",45,"female",1
"858",51,"male",1
"859",24,"female",1
"860",30.1516245487365,"male",0
"861",41,"male",0
"862",21,"male",0
"863",48,"female",1
"864",7.72877358490566,"female",0
"865",24,"male",0
"866",42,"female",1
"867",27,"female",1
"868",31,"male",0
"869",30.1516245487365,"male",0
"870",4,"male",1
"871",26,"male",0
"872",47,"female",1
"873",33,"male",0
"874",47,"male",0
"875",28,"female",1
"876",15,"female",1
"877",20,"male",0
"878",19,"male",0
"879",30.1516245487365,"male",0
"880",56,"female",1
"881",25,"female",1
"882",33,"male",0
"883",22,"female",0
"884",28,"male",0
"885",25,"male",0
"886",39,"female",0
"887",27,"male",0
"888",19,"female",1
"889",7.72877358490566,"female",0
"890",26,"male",1
"891",32,"male",0
"892",34.5,"male",NA
"893",47,"female",NA
"894",62,"male",NA
"895",27,"male",NA
"896",22,"female",NA
"897",14,"male",NA
"898",30,"female",NA
"899",26,"male",NA
"900",18,"female",NA
"901",21,"male",NA
"902",30.1516245487365,"male",NA
"903",46,"male",NA
"904",23,"female",NA
"905",63,"male",NA
"906",47,"female",NA
"907",24,"female",NA
"908",35,"male",NA
"909",21,"male",NA
"910",27,"female",NA
"911",45,"female",NA
"912",55,"male",NA
"913",9,"male",NA
"914",42.0173267326733,"female",NA
"915",21,"male",NA
"916",48,"female",NA
"917",50,"male",NA
"918",22,"female",NA
"919",22.5,"male",NA
"920",41,"male",NA
"921",30.1516245487365,"male",NA
"922",50,"male",NA
"923",24,"male",NA
"924",33,"female",NA
"925",30.1516245487365,"female",NA
"926",30,"male",NA
"927",18.5,"male",NA
"928",24.063829787234,"female",NA
"929",21,"female",NA
"930",25,"male",NA
"931",30.1516245487365,"male",NA
"932",39,"male",NA
"933",42.0173267326733,"male",NA
"934",41,"male",NA
"935",30,"female",NA
"936",45,"female",NA
"937",25,"male",NA
"938",45,"male",NA
"939",30.1516245487365,"male",NA
"940",60,"female",NA
"941",36,"female",NA
"942",24,"male",NA
"943",27,"male",NA
"944",20,"female",NA
"945",28,"female",NA
"946",30.1516245487365,"male",NA
"947",10,"male",NA
"948",35,"male",NA
"949",25,"male",NA
"950",30.1516245487365,"male",NA
"951",36,"female",NA
"952",17,"male",NA
"953",32,"male",NA
"954",18,"male",NA
"955",22,"female",NA
"956",13,"male",NA
"957",30.1516245487365,"female",NA
"958",18,"female",NA
"959",47,"male",NA
"960",31,"male",NA
"961",60,"female",NA
"962",24,"female",NA
"963",21,"male",NA
"964",29,"female",NA
"965",28.5,"male",NA
"966",35,"female",NA
"967",32.5,"male",NA
"968",30.1516245487365,"male",NA
"969",55,"female",NA
"970",30,"male",NA
"971",24,"female",NA
"972",6,"male",NA
"973",67,"male",NA
"974",49,"male",NA
"975",30.1516245487365,"male",NA
"976",30.1516245487365,"male",NA
"977",30.1516245487365,"male",NA
"978",27,"female",NA
"979",18,"female",NA
"980",24.063829787234,"female",NA
"981",2,"male",NA
"982",22,"female",NA
"983",30.1516245487365,"male",NA
"984",27,"female",NA
"985",30.1516245487365,"male",NA
"986",25,"male",NA
"987",25,"male",NA
"988",76,"female",NA
"989",29,"male",NA
"990",20,"female",NA
"991",33,"male",NA
"992",43,"female",NA
"993",27,"male",NA
"994",30.1516245487365,"male",NA
"995",26,"male",NA
"996",16,"female",NA
"997",28,"male",NA
"998",21,"male",NA
"999",30.1516245487365,"male",NA
"1000",30.1516245487365,"male",NA
"1001",18.5,"male",NA
"1002",41,"male",NA
"1003",24.063829787234,"female",NA
"1004",36,"female",NA
"1005",18.5,"female",NA
"1006",63,"female",NA
"1007",18,"male",NA
"1008",30.1516245487365,"male",NA
"1009",1,"female",NA
"1010",36,"male",NA
"1011",29,"female",NA
"1012",12,"female",NA
"1013",30.1516245487365,"male",NA
"1014",35,"female",NA
"1015",28,"male",NA
"1016",30.1516245487365,"male",NA
"1017",17,"female",NA
"1018",22,"male",NA
"1019",24.063829787234,"female",NA
"1020",42,"male",NA
"1021",24,"male",NA
"1022",32,"male",NA
"1023",53,"male",NA
"1024",30.1516245487365,"female",NA
"1025",30.1516245487365,"male",NA
"1026",43,"male",NA
"1027",24,"male",NA
"1028",26.5,"male",NA
"1029",26,"male",NA
"1030",23,"female",NA
"1031",40,"male",NA
"1032",10,"female",NA
"1033",33,"female",NA
"1034",61,"male",NA
"1035",28,"male",NA
"1036",42,"male",NA
"1037",31,"male",NA
"1038",42.0173267326733,"male",NA
"1039",22,"male",NA
"1040",42.0173267326733,"male",NA
"1041",30,"male",NA
"1042",23,"female",NA
"1043",30.1516245487365,"male",NA
"1044",60.5,"male",NA
"1045",36,"female",NA
"1046",13,"male",NA
"1047",24,"male",NA
"1048",29,"female",NA
"1049",23,"female",NA
"1050",42,"male",NA
"1051",26,"female",NA
"1052",24.063829787234,"female",NA
"1053",7,"male",NA
"1054",26,"female",NA
"1055",30.1516245487365,"male",NA
"1056",41,"male",NA
"1057",26,"female",NA
"1058",48,"male",NA
"1059",18,"male",NA
"1060",42.0173267326733,"female",NA
"1061",22,"female",NA
"1062",30.1516245487365,"male",NA
"1063",27,"male",NA
"1064",23,"male",NA
"1065",30.1516245487365,"male",NA
"1066",40,"male",NA
"1067",15,"female",NA
"1068",20,"female",NA
"1069",54,"male",NA
"1070",36,"female",NA
"1071",64,"female",NA
"1072",30,"male",NA
"1073",37,"male",NA
"1074",18,"female",NA
"1075",30.1516245487365,"male",NA
"1076",27,"female",NA
"1077",40,"male",NA
"1078",21,"female",NA
"1079",17,"male",NA
"1080",7.72877358490566,"female",NA
"1081",40,"male",NA
"1082",34,"male",NA
"1083",42.0173267326733,"male",NA
"1084",11.5,"male",NA
"1085",61,"male",NA
"1086",8,"male",NA
"1087",33,"male",NA
"1088",6,"male",NA
"1089",18,"female",NA
"1090",23,"male",NA
"1091",30.1516245487365,"female",NA
"1092",24.063829787234,"female",NA
"1093",0.33,"male",NA
"1094",47,"male",NA
"1095",8,"female",NA
"1096",25,"male",NA
"1097",42.0173267326733,"male",NA
"1098",35,"female",NA
"1099",24,"male",NA
"1100",33,"female",NA
"1101",25,"male",NA
"1102",32,"male",NA
"1103",30.1516245487365,"male",NA
"1104",17,"male",NA
"1105",60,"female",NA
"1106",38,"female",NA
"1107",42,"male",NA
"1108",24.063829787234,"female",NA
"1109",57,"male",NA
"1110",50,"female",NA
"1111",30.1516245487365,"male",NA
"1112",30,"female",NA
"1113",21,"male",NA
"1114",22,"female",NA
"1115",21,"male",NA
"1116",53,"female",NA
"1117",30.1516245487365,"female",NA
"1118",23,"male",NA
"1119",24.063829787234,"female",NA
"1120",40.5,"male",NA
"1121",36,"male",NA
"1122",14,"male",NA
"1123",21,"female",NA
"1124",21,"male",NA
"1125",30.1516245487365,"male",NA
"1126",39,"male",NA
"1127",20,"male",NA
"1128",64,"male",NA
"1129",20,"male",NA
"1130",18,"female",NA
"1131",48,"female",NA
"1132",55,"female",NA
"1133",45,"female",NA
"1134",45,"male",NA
"1135",30.1516245487365,"male",NA
"1136",7.72877358490566,"male",NA
"1137",41,"male",NA
"1138",22,"female",NA
"1139",42,"male",NA
"1140",29,"female",NA
"1141",30.1516245487365,"female",NA
"1142",0.92,"female",NA
"1143",20,"male",NA
"1144",27,"male",NA
"1145",24,"male",NA
"1146",32.5,"male",NA
"1147",30.1516245487365,"male",NA
"1148",30.1516245487365,"male",NA
"1149",28,"male",NA
"1150",19,"female",NA
"1151",21,"male",NA
"1152",36.5,"male",NA
"1153",21,"male",NA
"1154",29,"female",NA
"1155",1,"female",NA
"1156",30,"male",NA
"1157",30.1516245487365,"male",NA
"1158",42.0173267326733,"male",NA
"1159",30.1516245487365,"male",NA
"1160",24.063829787234,"female",NA
"1161",17,"male",NA
"1162",46,"male",NA
"1163",30.1516245487365,"male",NA
"1164",26,"female",NA
"1165",24.063829787234,"female",NA
"1166",30.1516245487365,"male",NA
"1167",20,"female",NA
"1168",28,"male",NA
"1169",40,"male",NA
"1170",30,"male",NA
"1171",22,"male",NA
"1172",23,"female",NA
"1173",0.75,"male",NA
"1174",24.063829787234,"female",NA
"1175",9,"female",NA
"1176",2,"female",NA
"1177",36,"male",NA
"1178",30.1516245487365,"male",NA
"1179",24,"male",NA
"1180",30.1516245487365,"male",NA
"1181",30.1516245487365,"male",NA
"1182",42.0173267326733,"male",NA
"1183",30,"female",NA
"1184",30.1516245487365,"male",NA
"1185",53,"male",NA
"1186",36,"male",NA
"1187",26,"male",NA
"1188",1,"female",NA
"1189",30.1516245487365,"male",NA
"1190",30,"male",NA
"1191",29,"male",NA
"1192",32,"male",NA
"1193",30.1516245487365,"male",NA
"1194",43,"male",NA
"1195",24,"male",NA
