"loading","measurement_17","measurement_6","measurement_5","measurement_7","attribute_0","measurement_4","attribute_1","product_code","measurement_14","measurement_13","measurement_8","measurement_15","attribute_2","measurement_3","measurement_9","measurement_10","failure"
88,927.606,17.408,19.053,11.499,7,13.55,8,0,14.926,14.476,20.23,16.347,9,18.39,12.245,17.131,0
144.15,606.519,17.606,15.873,13.055,7,12.303,8,0,13.341,15.705,18.206,15.226,9,17.172,12.042,16.342,1
211.2,807.674,16.413,17.463,12.673,7,11.935,8,0,17.057,15.937,20.174,15.079,9,17.626,11.097,16.323,1
164.47,740.611,16.775,18.826,10.967,7,12.02,8,0,18.654,15.133,18.668,16.409,9,19.877,11.874,16.149,0
215.05,839.468,15.899,19.204,11.85,7,13.361,8,0,14.92,15.269,19.41,15.927,9,17.873,11.08,15.789,0
150.48,860.434,16.497,17.064,11.744,7,11.393,8,0,15.201,14.786,21.543,13.501,9,18.057,11.946,17.513,0
158.69,790.748,17.933,17.998,11.362,7,13.003,8,0,15.492,17.48,19.24,16.232,9,17.699,11.195,16.862,0
157.84,571.376,17.582,16.252,10.906,7,12.07,8,0,15.746,16.549,18.218,12.546,9,17.981,10.922,17.087,0
72.96,729.64,17.827,16.155,11.644,7,11.998,8,0,15.285,15.857,20.021,14.053,9,18.144,12.099,16.749,0
141.03,659.105,19.619,16.51,11.651,7,11.794,8,0,17.848,15.377,18.242,15.367,9,16.673,13.125,17.157,0
136.34,763.738,17.987,18.04,11.091,7,10.95,8,0,15.696,16.026,19.325,14.671,9,17.969,13.163,17.537,0
104.35,682.616,17.286,18.474,9.978,7,12.263,8,0,19.056,14.357,18.295,12.554,9,18.192,12.783,17.128,0
107.14,760.846,17.445,17.632,11.38,7,11.162,8,0,18.041,16.848,19.66,13.449,9,19.201,12.031,16.226,0
197.46,755.809,19.551,17.408,11.97,7,12.972,8,0,15.386,14.995,18.505,15.576,9,19.446,10.25,15.944,1
135.57,768.254,17.915,17.343,12.824,7,10.581,8,0,19.354,14.206,19.46,16.608,9,18.289,12.629,16.729,0
198.35,722.617,17.616,17.934,11.897,7,11.81,8,0,12.767,15.177,18.579,12.667,9,16.313,12.268,17.89,0
138.25,655.256,15.828,19.248,9.946,7,11.465,8,0,18.485,13.927,17.999,11.906,9,18.554,11.948,14.99,0
152.48,695.779,18.566,16.151,10.35,7,11.969,8,0,17.982,14.103,19.746,15.197,9,17.458,10.616,16.522,0
144.88,622.716,17.292,16.165,10.959,7,11.393,8,0,15.91,15.694,19.149,13.706,9,16.707,12.383,16.623,0
103.03,810.747,18.993,17.289,12.52,7,12.863,8,0,15.989,16.3,19.336,14.773,9,18.732,12.214,16.722,0
55.29,880.573,16.516,19.336,11.734,7,13.157,8,0,15.347,14.6,19.707,13.242,9,17.492,10.777,16.76,0
119.28,833.558,18.445,18.822,11.581,7,11.419,8,0,14.974,16.243,19.228,11.346,9,18.875,12.595,17.159,0
148.04,888.393,18.091,18.433,12.47,7,11.883,8,0,16.724,15.393,19.976,17.032,9,18.444,10.183,17.182,0
98.77,678.734,16.94,17.9,12.392,7,10.577,8,0,12.082,15.201,18.347,12.94,9,18.648,11.292,16.142,0
171.21,752.42,17.853,16.475,10.895,7,11.797,8,0,14.76,15.236,20.342,14.05,9,17.02,11.052,16.458,0
132.48,722.006,17.137,18.255,12.382,7,11.451,8,0,15.159,13.829,18.399,14.007,9,17.284,11.309,17.282,0
127.43,605.448,16.699,16.295,11.161,7,10.925,8,0,14.07,16.749,19.045,14.589,9,19.543,12.451,15.294,0
176.23,631.304,16.989,17.003,10.987,7,12.985,8,0,15.995,15.342,18.407,12.613,9,18.95,11.024,16.921,1
82.58,690.442,16.578,18.033,13.128,7,10.73,8,0,15.713,17.031,18.257,9.869,9,17.323,9.9,15.659,0
124.01,1060.152,17.94,19.955,14.486,7,11.849,8,0,13.945,16.465,20.419,14.8,9,18.932,10.843,14.535,0
152.25,829.183,16.823,16.931,10.812,7,10.405,8,0,14.663,15.703,21.642,11.988,9,17.867,12.419,17.362,1
194.7,831.163,16.872,18.736,11.926,7,11.892,8,0,18.855,16.351,19.59,12.382,9,17.642,12.162,15.261,1
149.97,776.166,18.489,16.502,12.846,7,11.93,8,0,18.132,16.747,19.74,13.79,9,15.709,11.831,17.12,0
122.87,860.117,18.705,17.186,14.178,7,12.919,8,0,17.526,13.039,19.598,13.13,9,17.996,11.137,15.705,0
116.84,714.298,17.018,18.336,10.59,7,11.388,8,0,14.869,15.692,18.876,13.722,9,18.852,10.153,16.756,0
121.98,798.952,17.017,17.049,11.067,7,9.964,8,0,15.041,16.606,21.084,15.817,9,18.262,11.885,16.253,1
113.19,757.154,15.955,18.234,11.774,7,11.043,8,0,20.148,15.328,19.568,10.079,9,17.984,10.368,17.718,1
71.96,748.615,17.622,17.538,11.798,7,12.977,8,0,14.072,15.658,19.026,15.33,9,16.07,12.233,16.024,1
88.92,774.13,17.715,18.493,11.135,7,11.506,8,0,13.7,14.915,19.088,13.617,9,20.096,12.684,14.607,0
108.6,762.348,18.203,16.87,12.781,7,11.131,8,0,14.889,15.232,19.562,15.861,9,18.296,9.925,15.21,0
131.01,724.423,16.971,16.996,10.06,7,12.494,8,0,12.021,16.894,20.019,11.303,9,17.074,11.998,14.834,1
128.18,526.522,15.338,16.44,11.688,7,10.903,8,0,17.475,16.187,18.218,17.759,9,18.4,10.687,15.65,0
80,565.069,17.191,17.408,10.004,7,11.325,8,0,17.858,15.766,17.802,13.592,9,18.359,10.011,16.572,0
127.37,912.12,16.937,17.544,12.104,7,10.877,8,0,15.003,13.147,21.682,12.859,9,19.55,11.591,15.456,0
88.29,568.145,17.254,16.173,11.836,7,10.841,8,0,15.946,15.51,18.276,13.387,9,19.753,10.869,15.105,1
100.77,603.832,16.9,16.346,12.644,7,12.172,8,0,18.027,14.53,18.206,13.229,9,18.319,11.931,15.241,0
95.08,797.104,16.557,17.683,12.054,7,11.618,8,0,13.954,17.059,20.091,14.114,9,17.598,11.142,15.983,0
128.62,683.991,16.39,17.616,9.805,7,10.059,8,0,15.989,16.771,19.765,13.845,9,19.51,9.838,17.201,0
166,533.722,17.84,15.71,11.044,7,11.1,8,0,13.958,13.014,18.186,13.189,9,16.767,12.28,15.828,0
89.69,661.925,17.986,16.051,11.809,7,13.002,8,0,16.688,15.171,18.911,13.786,9,17.38,11.602,15.438,0
173.75,836.247,18.496,17.746,10.693,7,10.982,8,0,15.458,16.303,20.438,13.484,9,17.632,12.512,14.813,0
174.31,713.05,18.386,17.572,10.86,7,10.857,8,0,14.761,15.541,18.989,12.127,9,17.696,11.848,18.6,0
167.06,604.858,18.151,16.393,11.939,7,11.318,8,0,16.428,16.116,18.14,13.834,9,18.687,10.208,16.977,1
136.25,413.653,17.017,16.622,9.791,7,11.201,8,0,17.305,14.918,16.603,13.855,9,17.957,11.253,15.068,0
200.05,666.461,18.331,16.739,11.837,7,11.36,8,0,14.874,13.649,18.626,15.924,9,18.29,12.265,16.711,0
123.83,543.325,14.425,17.248,11.623,7,10.455,8,0,12.63,16.061,18.247,12.701,9,17.998,13.04,16.865,0
99.82,738.434,18.453,16.987,10.886,7,11.481,8,0,14.024,15.634,19.616,11.78,9,17.655,11.784,15.714,1
90.41,722.375,17.099,17.257,10.483,7,10.906,8,0,15.986,15.004,19.93,16.825,9,20.056,11.892,16.916,0
121.85,639.144,17.392,15.377,12.37,7,11.389,8,0,17.909,15.285,19.474,15.856,9,18.671,13.623,16.189,0
121.29,560.618,15.151,16.743,11.072,7,12.787,8,0,14.362,14.092,18.343,13.322,9,19.086,11.101,15.62,0
91.43,766.298,15.762,16.324,12.312,7,11.48,8,0,16.559,16.111,20.96,14.094,9,16.016,12.478,17.328,0
108.01,663.477,17.304,17.242,9.466,7,12.606,8,0,19.496,15.25,19.09,16.427,9,17.384,11.334,13.879,0
101.18,521.749,16.936,16.799,11.602,7,11.082,8,0,14.656,16.113,17.315,15.655,9,16.395,9.299,18.578,1
98.84,655.172,18.686,16.4,10.705,7,11.445,8,0,16.446,16.485,18.98,17.378,9,19.833,11.73,16.281,1
109.78,635.718,15.71,17.201,12.761,7,11.744,8,0,16.536,16.475,18.405,15.032,9,17.912,11.197,16.589,1
208.5,775.19,17.219,16.876,10.592,7,12.82,8,0,14.356,16.333,20.434,18.036,9,17.749,11.226,16.777,1
144.88,591.829,18.499,17.015,10.194,7,10.186,8,0,18.027,15.437,18.161,15.649,9,16.754,10.685,16.49,0
149.94,750.113,16.888,18.732,11.285,7,11.343,8,0,16.277,14.14,18.864,14.024,9,16.741,10.608,15.867,1
112.65,701.45,16.567,18.193,12.483,7,11.454,8,0,17.12,15.596,18.35,12.433,9,16.746,11.425,17.025,0
79.38,666.867,17.338,17.554,11.092,7,11.152,8,0,15.506,14.635,18.635,14.957,9,17.546,8.856,17.948,0
92.11,628.397,18.267,15.568,11.518,7,10.699,8,0,17.327,16.164,19.301,11.218,9,18.129,13.251,16.453,0
131.93,608.154,16.425,17.872,9.998,7,13.517,8,0,15.261,16.421,17.852,15.316,9,16.663,12.295,16.268,0
122.71,640.362,17.029,18.357,9.774,7,12.069,8,0,13.783,13.421,18.047,14.679,9,16.986,11.937,15.16,0
113.42,727.169,18.717,16.38,12.666,7,12.49,8,0,16.747,18.129,19.091,14.716,9,19.431,13.973,14.699,0
143.92,648.05,18.558,15.641,11.407,7,11.824,8,0,17.487,14.912,19.214,15.36,9,18.158,11.565,16.56,1
133.92,562.167,16.571,16.1,11.877,7,12.219,8,0,19.481,15.367,18.205,14.184,9,18.298,12.124,17.197,0
114.99,623.131,18.618,15.978,12.998,7,12.933,8,0,15.19,15.062,17.886,15.482,9,17.576,12.96,14.407,0
106.15,537.914,16.91,15.268,10.656,7,12.521,8,0,14.856,16.716,18.771,12.982,9,16.776,12.143,15.462,1
109.88,699.081,17.077,18.222,12.008,7,12.259,8,0,17.827,15.805,18.118,14.612,9,18.825,12.393,15.738,0
109.25,633.474,18.032,16.411,11.087,7,11.394,8,0,16.611,15.511,18.8,18.235,9,17.367,10.476,16.117,0
115.34,828.988,18.273,18.755,10.734,7,12.854,8,0,17.379,15.35,19.269,12.231,9,16.951,12.034,15.755,0
247.95,785.239,18.181,18.121,11.347,7,10.228,8,0,15.415,15.024,19.546,13.054,9,17.574,11.79,15.977,0
216.47,888.199,18.561,17.814,11.779,7,12.803,8,0,17.423,15.881,20.324,15.174,9,16.795,11.203,16.372,0
112.72,638.426,18.495,17.31,12.106,7,11.779,8,0,14.753,15.876,17.603,13.837,9,16.7,11.465,15.888,0
147.26,900.428,17.137,18.144,14.191,7,11.516,8,0,17.954,14.987,20.181,13.723,9,17.537,10.802,17.183,0
94.32,731.875,17.321,17.567,11.785,7,12.839,8,0,17.835,15.367,18.925,13.592,9,17.435,10.702,15.424,1
104.06,705.679,17.926,16.991,10.618,7,10.264,8,0,14.878,15.744,19.698,14.409,9,17.361,11.47,15.966,1
118.58,556.549,15.754,16.634,10.563,7,11.021,8,0,15.958,17.165,18.672,15.307,9,17.212,10.317,17.303,0
137.51,603.882,18.041,17.354,9.298,7,13.106,8,0,16.333,16.637,17.927,16.447,9,16.069,12.531,16.254,0
98.42,653.004,17.036,17.768,12.609,7,13.623,8,0,18.187,16.987,17.422,14.678,9,20.486,11.188,15.763,0
134.09,722.19,18.071,15.988,10.448,7,12.226,8,0,17.226,16.264,20.301,13.98,9,16.539,11.655,15.217,0
108.06,667.417,17.548,18.188,11.201,7,13.057,8,0,15.085,15.935,17.685,13.389,9,18.347,12.354,16.47,0
91.77,815.936,16.462,18.217,10.619,7,12.026,8,0,18.037,15.691,20.337,13.91,9,18.211,11.835,17.654,1
161.28,760.454,15.735,16.925,11.222,7,12.111,8,0,17.646,16.212,20.672,15.247,9,18.102,9.819,16.503,0
122.24,578.133,18.06,15.795,10.465,7,11.022,8,0,13.581,16.094,18.828,14.289,9,17.162,11.523,15.086,0
120.74,824.306,18.722,18.967,12.383,7,11.943,8,0,18.379,16.078,18.531,13.016,9,17.536,12.573,15.401,1
92.1,568.726,16.268,16.379,12.073,7,10.861,8,0,17.125,16.225,18.379,16.52,9,19.021,11.61,15.899,0
101.78,729.157,17.666,17.027,12.42,7,11.227,8,0,11.345,16.752,19.296,12.409,9,19.326,9.987,16.297,1
150.66,695.086,17.774,17.773,11.671,7,11.81,8,0,13.824,15.357,18.369,13.377,9,17.435,11.976,15.266,0
122.83,487.972,16.529,15.368,9.769,7,12.345,8,0,13.12,15.321,18.491,14.145,9,17.369,11.217,14.432,0
138.65,799.795,16.908,17.959,10.772,7,12.506,8,0,15.603,15.558,20.032,15.181,9,17.533,12.498,16.219,0
87.19,694.062,19.121,16.398,11.301,7,10.979,8,0,14.932,15.204,19.231,14.361,9,19.191,11.326,15.416,0
85.81,612.178,15.972,17.578,9.678,7,13.61,8,0,17.631,16.375,18.376,13.536,9,17.472,11.074,12.847,0
104.88,537.684,16.769,16.866,12.597,7,11.304,8,0,16.964,14.221,17.168,14.725,9,17.969,13.592,16.704,1
156.99,702.772,16.447,18.272,11.286,7,12.562,8,0,16.74,15.9,18.528,18.727,9,17.731,11.495,16.8,0
60.19,808.408,18.224,18.325,10.664,7,10.558,8,0,15.517,15.673,19.811,14.44,9,18.128,12.383,15.357,0
153.93,717.452,19.847,18.944,11.972,7,10.079,8,0,17.267,15.426,17.266,13,9,16.207,11.937,14.331,1
91.75,920.59,18.832,17.802,11.86,7,10.864,8,0,15.154,15.751,21.013,14.98,9,18.483,11.244,17.82,0
165.67,777.795,16.05,18.047,12.253,7,11.882,8,0,15.957,16.669,19.618,13.812,9,16.915,11.761,18.066,0
75.57,690.747,17.9,16.528,11.426,7,11.22,8,0,15.8,16.055,19.421,16.593,9,18.885,10.757,16.82,0
121.42,606.976,17.806,16.505,11.938,7,12.622,8,0,15.265,15.786,17.941,15.994,9,17.175,12.762,15.683,0
157.44,574.172,17.268,16.774,10.645,7,11.594,8,0,16.975,16.881,18.133,14.309,9,17.381,12.72,16.375,0
122.06,580.583,14.547,17.096,10.364,7,10.453,8,0,17.223,15.417,19.2,12.009,9,18.046,12.836,16.743,0
107.94,510.736,16.481,15.623,12.413,7,12.214,8,0,17.642,14.546,17.772,17.95,9,17.295,11.025,16.45,0
68.97,657.081,18.684,15.152,12.999,7,12.178,8,0,18.551,15.557,19.08,13.077,9,19.522,10.679,15.794,0
116.36,571.18,16.166,17.975,12.29,7,10.383,8,0,17.205,16.727,17.232,13.768,9,17.872,11.795,17.595,0
90.74,660.491,17.547,17.69,9.136,7,13.013,8,0,15.251,14.99,18.658,16.282,9,18.448,12.022,17.979,1
123.6,684.053,16.554,18.751,11.791,7,12.613,8,0,18.801,15.894,17.693,15.372,9,15.718,11.235,16.233,0
110.86,728.737,16.864,17.518,13.516,7,9.028,8,0,12.59,13.88,19.258,13.397,9,18.243,12.247,15.056,1
103.69,755.202,18.228,18.288,10.978,7,11.379,8,0,17.373,15.799,18.903,14.843,9,18.302,12.194,14.861,0
96.06,624.566,16.26,17.66,9.522,7,10.513,8,0,17.382,15.683,19.021,16.231,9,16.847,13.115,17.543,0
127.61,617.304,17.481,17.482,11.625,7,12.836,8,0,14.201,13.004,17.505,13.406,9,19.736,10.907,15.322,0
134.06,659.831,18.316,16.97,11.432,7,12.682,8,0,15.798,16.585,18.238,15.128,9,17.338,11.672,16.644,1
134.34,625.649,16.645,17.076,10.885,7,12.641,8,0,18.341,14.824,18.502,15.324,9,18.14,12.104,15.516,0
167.4,637.9,17.157,16.154,11.867,7,12.536,8,0,13.381,14.897,18.887,13.319,9,17.568,10.399,15.727,0
75.62,738.351,18.574,17.271,12.102,7,11.593,8,0,13.789,15.326,18.939,14.464,9,18.133,12.885,16.749,0
147.26,681.628,17.339,16.542,10.395,7,13.402,8,0,17.227,16.47,19.4,13.831,9,18.371,10.774,15.163,0
153.22,828.176,17.173,18.456,11.432,7,13.281,8,0,14.756,15.126,19.567,15.925,9,19.302,11.719,15.323,1
119.5,612.28,18.947,16.449,11.025,7,14.131,8,0,14.519,15.081,17.675,14.392,9,18.45,11.347,16.56,0
189.54,537.699,19.43,14.818,11.419,7,11.135,8,0,15.9,16.172,18.263,16.546,9,18.072,11.975,16.651,0
95.36,644.199,16.598,16.27,12.583,7,11.136,8,0,16.125,16.891,19.11,12.87,9,18.864,9.509,15.42,1
183.1,941.582,17.909,19.548,12.594,7,13.543,8,0,14.294,15.994,19.494,14.582,9,17.461,11.711,15.793,1
193.41,608.982,16.574,17.847,11.403,7,11.253,8,0,18.468,16.181,17.808,16.038,9,16.517,13.643,16.642,1
129.14,707.835,15.602,17.101,10.017,7,10.829,8,0,15.224,14.125,20.527,15.137,9,17.731,11.985,16.285,0
185.96,912.477,18.727,17.168,14.33,7,12.323,8,0,16.085,15.667,20.353,14.779,9,17.782,12.1,15.241,0
218.18,653.976,17.582,17.875,11.426,7,10.816,8,0,17.605,14.472,18.081,15.117,9,17.308,13.597,17.207,0
205.36,789.436,16.887,18.563,12.071,7,11.37,8,0,14.536,14.362,19.236,13.899,9,14.69,10.635,16.5,0
98.44,669.285,17.445,16.37,10.658,7,12.218,8,0,17.78,16.63,19.473,15.023,9,18.017,10.026,17.188,1
96.68,874.324,16.493,18.075,12.85,7,13.009,8,0,15.465,16.351,20.273,15.074,9,17.543,11.817,15.697,0
48.05,634.373,16.415,16.844,12.604,7,11.002,8,0,14.086,14.718,18.632,15.424,9,19.956,10.866,14.29,0
88.25,694.09,17.738,16.335,10.681,7,10.421,8,0,15.604,15.506,20.066,16.716,9,15.588,11.761,16.018,1
279.37,955.163,18.877,18.029,12.079,7,10.42,8,0,17.843,15.097,21.28,15.326,9,18.084,12.566,15.204,0
101.31,682.013,16.467,17.086,12.261,7,11.308,8,0,19.403,15.074,19.084,13.195,9,17.995,11.904,16.356,0
76.6,615.332,16.733,15.906,12.564,7,12.75,8,0,13.977,15.531,18.66,12.412,9,18.887,10.725,18.878,1
168.29,650.354,17.473,17.417,13.039,7,11.471,8,0,16.539,16.623,17.781,18.076,9,17.627,10.842,17.538,1
120.94,827.62,17.61,15.921,13.875,7,13.035,8,0,18.36,16.162,20.617,12.102,9,19.973,12.237,17.025,0
173,436.153,17.873,16.018,10.248,7,11.094,8,0,15.264,16.563,16.95,15.271,9,19.272,11.481,15.143,0
71.81,532.165,18.363,16.728,11.618,7,11.99,8,0,13.509,16.294,16.851,13.368,9,16.83,11.279,14.424,1
155.75,756.416,17.149,18.424,11.557,7,11.402,8,0,15.778,15.641,19.004,17.16,9,19.239,10.893,16.326,0
149.42,680.297,18.46,17.522,12.229,7,11.275,8,0,16.337,14.957,18.044,13.439,9,18.479,11.882,17.539,0
114.63,882.006,18.113,17.224,11.31,7,13.828,8,0,18.568,15.746,20.82,12.465,9,19.338,12.984,17.155,1
165.72,626.62,17.937,16.533,10.261,7,10.812,8,0,14.373,15.541,19.033,13.306,9,17.878,12.533,15.416,1
90.51,659.103,18.36,16.047,12.711,7,13.197,8,0,15.287,14.543,18.43,14.147,9,17.5,11.612,16.728,0
167.99,710.369,16.761,17.074,12.659,7,12.588,8,0,15.335,16.078,18.982,15.553,9,19.398,9.711,16.777,0
86.88,628.768,17.804,16.735,9.999,7,12.312,8,0,17.178,16.677,18.743,13.243,9,17.79,11.269,15.878,0
175.85,712.806,17.978,17.29,11.545,7,10.568,8,0,17.859,17.661,19.173,17.52,9,16.58,12.533,16.003,1
77.73,555.74,18.765,16.95,11.507,7,10.967,8,0,19.008,16.559,17.08,11.04,9,18.033,10.146,16.545,0
143.7,731.429,18.854,16.843,10.947,7,12.103,8,0,14.033,14.486,19.368,15.054,9,19.13,10.252,15.5,0
115.11,626.204,14.857,16.744,12.087,7,11.269,8,0,13.647,16.21,19.249,14.214,9,17.451,11.91,16.158,0
82.52,685.872,16.616,16.123,12.87,7,10.52,8,0,16.661,17.3,19.771,15.141,9,16.631,11.692,15.313,0
218.34,875.394,18.312,19.791,11.603,7,11.574,8,0,16.427,16.627,19.037,17.107,9,18.653,10.827,17.326,1
180.35,455.972,17.273,14.751,10.371,7,10.169,8,0,15.957,15.908,18.53,16.321,9,19.739,13.353,16.672,0
107.96,808.328,16.723,17.218,13.102,7,10.867,8,0,15.476,14.362,20.332,16.273,9,17.743,12.232,16.908,0
120.15,545.181,19.104,16.054,12.149,7,10.349,8,0,14.003,15.426,17.425,14.951,9,17.546,11.997,16.384,0
138.32,771.365,16.123,17.697,10.512,7,10.647,8,0,15.668,15,20.597,14.282,9,16.968,10.659,17.204,0
114.35,586.816,15.456,19.017,11.341,7,12.792,8,0,16.096,15.018,16.717,15.316,9,18.606,10.124,16.619,0
129.15,622.435,17.041,16.325,11.443,7,10.184,8,0,13.722,14.623,19.188,14.208,9,18.102,12.055,16.232,0
102.92,760.438,18.24,17.473,11.336,7,12.046,8,0,15.463,15.098,19.354,15.44,9,17.102,10.873,16.492,0
111.84,772.46,18.65,16.919,9.391,7,11.704,8,0,14.773,16.84,20.486,15.341,9,17.05,11.202,16.232,0
130.84,716.812,18.082,16.719,12.309,7,11.747,8,0,15.867,15.468,19.164,15.346,9,16.679,11.745,15.261,0
216.92,744.989,16.971,17.034,12.339,7,13.125,8,0,17.154,14.922,19.391,15.448,9,18.277,11.026,14.132,0
196.8,650.322,17.809,16.796,11.922,7,11.859,8,0,17.116,15.746,18.446,9.496,9,18.453,10.548,17.622,0
164.66,827.864,18.438,17.713,13.029,7,10.869,8,0,14.628,15.615,19.634,14.424,9,15.734,12.102,15.999,0
118.47,917.863,18.701,18.106,11.315,7,8.675,8,0,15.944,15.869,21.384,13.962,9,16.697,12.264,16.054,0
132.81,454.46,16.289,16.283,11.776,7,11.553,8,0,13.775,14.409,16.931,15.244,9,18.388,9.599,18.655,0
127.07,658.72,15.436,17.009,11.81,7,12.444,8,0,16.399,14.366,19.129,11.123,9,18.031,11.711,16.911,0
121.26,748.005,18.829,18.7,13.248,7,12.623,8,0,16.207,16.229,17.298,14.878,9,17.404,10.941,16.993,0
116.8,648.505,18.223,16.769,9.872,7,11.736,8,0,17.571,13.897,18.986,14.949,9,18.946,11.023,15.423,0
87.06,833.653,18.018,18.445,11.079,7,10.324,8,0,14.849,15.854,20.025,14.244,9,17.352,12.499,16.46,0
162.68,827.066,18.685,17.475,10.505,7,12.887,8,0,17.071,14.465,20.17,11.361,9,19.471,12.196,16.525,1
103.18,716.844,16.805,17.072,9.761,7,12.785,8,0,14.226,15.349,19.958,12.586,9,17.701,10.184,15.071,1
157.92,663.576,16.777,16.812,12.478,7,12.608,8,0,18.938,14.723,18.636,14.463,9,16.51,13.005,15.117,0
129.07,682.458,18.305,16.707,12.823,7,12.6,8,0,17.679,15.397,18.326,13.592,9,19.631,12.787,16.698,0
112.95,709.876,19.978,18.027,10.774,7,11.187,8,0,16.592,17.237,18.012,17.074,9,18.053,10.741,16.611,0
76.63,870.866,16.123,17.553,11.476,7,12.723,8,0,14.98,14.297,21.262,13.167,9,18.681,11.201,18.975,0
81.2,785.889,16.041,18.447,13.003,7,11.228,8,0,14.553,14.859,19.284,14.086,9,18.405,11.187,16.328,0
108.69,577.555,15.801,16.489,11.111,7,12.76,8,0,15.064,14.131,18.527,15.159,9,16.001,11.189,16.164,0
83.15,706.529,18.172,16.687,12.277,7,9.558,8,0,17.843,15.93,19.453,14.555,9,18.701,12.681,15.452,0
86.12,527.979,17.795,16.332,12.674,7,9.998,8,0,17.887,14.311,17.334,14.237,9,18.206,12.069,15.339,0
238.88,719.115,16.6,18.138,12.199,7,12.71,8,0,13.163,15.509,18.461,13.845,9,16.43,11.815,15.058,1
118.81,681.514,19.893,17.067,12.013,7,12.608,8,0,18.25,15.461,17.744,15.388,9,17.89,13.211,15.355,0
100.41,725.651,19.952,16.132,11.687,7,10.085,8,0,17.491,16.707,19.609,19.1,9,16.506,11.219,16.239,1
157.96,734.592,17.821,16.309,12.649,7,13.032,8,0,17.012,16.294,19.439,13.379,9,17.042,11.125,15.797,0
162.92,653.343,16.006,16.59,12.543,7,10.649,8,0,15.404,16.234,19.301,16.711,9,16.75,9.184,16.367,0
132.06,474.258,16.114,16.459,10.962,7,12.779,8,0,17.096,17.173,17.14,13.345,9,17.248,12.41,15.503,0
153.71,663.658,17.614,17.153,10.936,7,12.558,8,0,15.183,16.18,18.591,14.058,9,17.818,10.387,14.66,1
140.51,667.602,16.223,17.903,11.152,7,12.693,8,0,14.559,15.597,18.434,15.121,9,19.317,12.774,14.658,0
124.88,722.497,18.747,17.013,11.409,7,9.536,8,0,15.72,14.185,19.504,13.53,9,17.364,9.578,16.301,0
111.58,663.293,17.645,16.81,13.264,7,10.09,8,0,15.313,16.544,18.552,15.948,9,16.3,12.433,16.566,0
107.12,494.057,16.882,16.553,12.42,7,10.57,8,0,15.241,14.312,16.997,15.408,9,16.547,12.351,16.358,0
105.65,770.636,18.684,17.201,13.019,7,11.706,8,0,14.273,16.102,19.063,15.223,9,18.003,12.047,15.081,0
132.63,574.094,18.128,15.702,11.547,7,12.445,8,0,19.722,16.963,18.199,16.594,9,18.74,11.145,15.738,1
160.05,464.475,17.178,17.909,10.22,7,11.087,8,0,15.353,15.778,16.094,16.637,9,19.285,10.917,15.139,0
93.87,678.862,16.714,17.337,12.143,7,11.999,8,0,16.848,14.856,18.678,15.133,9,17.568,11.071,16.101,0
171.64,573.959,18.601,16.282,11.687,7,11.866,8,0,19.065,16.622,17.635,14.716,9,19.723,10.188,15.332,0
